"full_name","a","e","i","om","w","q","ad","period","H","diameter","ma","tp"
"436724 (2011 UW158)",1.621,0.3765,4.57,285.95,8.82,1.010,2.23,2.06,19.98,,174.09,2460236.11
"436774 (2012 KY3)",1.232,0.4864,21.39,21.51,87.25,0.633,1.83,1.37,18.41,,78.98,2460490.99
"437841 (1998 HD14)",0.9633,0.3126,7.81,183.76,260.91,0.662,1.26,0.945,21.00,,94.39,2460509.96
"437844 (1999 MN)",0.674,0.6654,2.03,81.42,9.18,0.226,1.12,0.553,21.19,,115.02,2460535.92
"437905 (2001 XU30)",2.198,0.6637,8.93,72.00,107.12,0.739,3.66,3.26,19.98,,348.02,2460640.08
"438105 (2005 GO22)",1.914,0.8234,1.56,61.76,19.09,0.338,3.49,2.65,18.77,,153.06,2460189.22
"438661 (2008 EP6)",1.209,0.2932,17.72,303.22,130.30,0.855,1.56,1.33,19.23,,231.82,2460773.38
"438908 (2009 XO)",1.859,0.5434,0.35,27.95,140.52,0.849,2.87,2.53,20.63,,287.57,2460786.76
"438955 (2010 LN14)",1.154,0.4746,1.47,342.96,33.25,0.606,1.70,1.24,21.01,,138.77,2460426.01
"439313 (2012 VE82)",2.11,0.5437,9.92,110.40,186.45,0.963,3.26,3.07,19.66,,12.64,2460561.17
"439437 (2013 NK4)",1.023,0.5499,6.55,33.70,50.57,0.460,1.58,1.03,18.94,,233.00,2460733.75
"439877 (1999 XM141)",1.236,0.3691,21.62,72.98,105.80,0.780,1.69,1.37,19.69,,337.80,2460631.46
"440212 (2004 OB)",1.681,0.4304,3.44,174.52,223.35,0.957,2.40,2.18,18.96,,55.29,2460478.27
"441641 (2008 WZ13)",1.995,0.5625,8.20,51.73,133.93,0.873,3.12,2.82,18.62,,165.73,2460126.69
"441987 (2010 NY65)",1.003,0.3701,11.54,267.92,252.07,0.632,1.37,1.01,21.36,0.228,175.65,2460421.36
"442037 (2010 PR66)",2.927,0.6872,17.60,292.75,319.52,0.916,4.94,5.01,19.27,0.695,310.29,2460853.09
"442523 (2011 WU95)",1.667,0.4245,6.72,67.67,242.41,0.959,2.37,2.15,19.51,,75.48,2460435.68
"443103 (2013 WT67)",1.035,0.1922,21.47,322.75,99.03,0.836,1.23,1.05,17.97,,159.08,2460430.58
"443806 (1998 FL3)",1.26,0.2478,26.39,180.10,121.34,0.948,1.57,1.41,21.72,0.288,192.54,2460840.80
"443880 (2001 UZ16)",1.76,0.4263,12.67,323.10,28.63,1.010,2.51,2.34,19.38,0.228,320.12,2460695.00
"444004 (2004 AS1)",1.07,0.1744,17.21,322.53,262.12,0.884,1.26,1.11,20.67,,174.80,2460404.07
"444193 (2005 SE71)",1.069,0.1944,24.83,39.10,78.29,0.862,1.28,1.11,18.19,0.437,22.73,2460574.99
"444584 (2006 UK)",1.494,0.5389,4.75,243.92,252.35,0.689,2.30,1.83,20.25,,255.97,2460793.22
"445305 (2010 DM56)",1.306,0.2927,25.60,349.61,48.17,0.924,1.69,1.49,19.71,0.762,350.69,2460614.61
"445974 (2013 BJ18)",1.478,0.3640,3.71,90.82,159.61,0.940,2.02,1.8,20.29,,98.51,2460420.94
"446791 (1998 SJ70)",2.237,0.7056,7.30,21.43,246.99,0.659,3.82,3.35,18.52,,304.35,2460789.45
"446862 (2001 VB76)",1.459,0.3483,4.24,259.39,248.50,0.951,1.97,1.76,20.54,,307.50,2460694.35
"447755 (2007 JX2)",1.708,0.5261,4.22,44.31,87.95,0.810,2.61,2.23,19.77,,320.24,2460690.58
"448003 (2008 DE)",1.714,0.4140,14.77,55.91,179.20,1.005,2.42,2.24,19.64,,114.00,2460340.92
"448721 (2011 BN24)",1.544,0.4125,3.94,195.74,61.85,0.907,2.18,1.92,20.98,,328.23,2460662.35
"450142 (1998 XN2)",1.998,0.5420,1.79,255.19,127.00,0.915,3.08,2.82,19.88,,66.15,2460410.93
"450263 (2003 WD158)",1.426,0.4091,16.73,92.20,102.39,0.843,2.01,1.7,18.85,,17.09,2460570.96
"450270 (2004 AE)",1.432,0.3326,18.72,307.56,193.19,0.955,1.91,1.71,20.60,,30.60,2460547.32
"450293 (2004 LV3)",1.231,0.2757,35.34,273.47,121.35,0.892,1.57,1.37,18.83,,237.45,2460770.40
"450300 (2004 QD14)",0.9417,0.3378,6.25,75.25,109.35,0.624,1.26,0.914,20.67,,125.12,2460484.50
"450894 (2008 BT18)",2.22,0.5946,8.15,107.53,139.40,0.900,3.54,3.31,18.17,,338.58,2460672.38
"451003 (2008 UD1)",1.716,0.4637,6.48,154.19,6.69,0.920,2.51,2.25,19.53,,308.36,2460718.23
"451124 (2009 KC3)",3.209,0.6984,10.01,340.11,337.28,0.968,5.45,5.75,18.08,2.188,231.75,2461348.39
"451157 (2009 SQ104)",1.285,0.2795,4.02,56.52,95.68,0.926,1.64,1.46,21.13,,352.48,2460611.60
"451297 (2010 TK54)",1.84,0.4960,30.79,28.14,223.01,0.927,2.75,2.5,19.19,,316.01,2460711.90
"451370 (2011 AK5)",1.188,0.2308,5.52,316.78,325.69,0.914,1.46,1.29,21.48,,57.90,2460524.44
"452302 (1995 YR1)",1.698,0.8268,3.58,106.52,110.04,0.294,3.10,2.21,20.23,,335.76,2460654.93
"452376 (2002 AC5)",1.76,0.4937,16.55,82.37,331.72,0.891,2.63,2.34,19.97,,290.44,2460765.30
"452807 (2006 KV89)",1.15,0.2726,3.55,71.69,87.81,0.836,1.46,1.23,21.52,,19.64,2460575.92
"453563 (2010 BB)",0.8201,0.2775,10.02,279.70,29.00,0.592,1.05,0.743,20.24,,82.29,2460538.49
"453707 (2010 XY72)",1.133,0.2287,31.48,34.42,307.01,0.874,1.39,1.21,18.73,0.495,210.45,2460783.52
"453729 (2011 BO24)",1.381,0.2780,20.37,91.47,178.61,0.997,1.76,1.62,18.81,,40.06,2460534.57
"453778 (2011 JK)",1.911,0.4646,6.70,203.31,11.10,1.023,2.80,2.64,18.52,,22.86,2460539.24
"454094 (2013 BZ45)",1.015,0.1448,11.85,131.05,98.76,0.868,1.16,1.02,21.87,0.167,96.20,2460500.69
"454100 (2013 BO73)",1.331,0.4182,4.54,24.78,298.15,0.775,1.89,1.54,20.18,0.548,356.14,2460606.52
"454101 (2013 BP73)",1.328,0.6287,6.85,80.03,251.89,0.493,2.16,1.53,20.45,,323.38,2460657.40
"455148 (1994 UG)",1.239,0.2929,5.21,13.60,225.47,0.876,1.60,1.38,21.12,,42.93,2460540.41
"455176 (1999 VF22)",1.313,0.7388,3.92,3.22,271.98,0.343,2.28,1.5,20.70,,243.48,2460778.29
"455184 (2000 ED14)",0.835,0.5666,13.78,3.87,310.12,0.362,1.31,0.763,21.23,,2.21,2460598.79
"455299 (2002 EL6)",2.304,0.5779,9.53,84.87,186.71,0.972,3.64,3.5,18.05,0.537,145.71,2460083.50
"455687 (2005 EK94)",1.978,0.4805,14.19,103.00,154.96,1.027,2.93,2.78,19.29,,345.29,2460642.00
"456938 (2007 YV56)",1.576,0.6221,6.24,102.36,265.75,0.596,2.56,1.98,21.02,,203.84,2460914.09
"457662 (2009 DZ)",1.453,0.3021,14.11,151.44,335.89,1.014,1.89,1.75,22.00,,349.33,2460619.47
"457768 (2009 KN4)",1.941,0.5247,9.14,308.21,38.35,0.923,2.96,2.7,18.39,,219.58,2460985.73
"458116 (2010 DA)",1.03,0.5657,20.54,162.31,122.24,0.447,1.61,1.05,20.29,,285.48,2460679.57
"458122 (2010 EW45)",2.067,0.6690,2.12,232.92,135.58,0.684,3.45,2.97,17.61,,353.60,2460619.80
"458418 (2011 AM12)",1.854,0.5377,38.50,124.76,237.74,0.857,2.85,2.53,19.47,,199.81,2461010.90
"458436 (2011 AL52)",2.802,0.6363,13.44,272.70,171.76,1.019,4.59,4.69,17.45,1.102,325.38,2460765.29
"458723 (2011 KQ12)",1.811,0.5030,19.29,83.61,142.91,0.900,2.72,2.44,19.48,,174.35,2460169.56
"459683 (2013 MY5)",1.662,0.4532,3.00,102.88,279.04,0.909,2.41,2.14,19.79,0.269,61.87,2460466.01
"461852 (2006 GY2)",1.858,0.4959,30.56,54.29,216.73,0.937,2.78,2.53,18.90,,87.41,2460375.83
"462238 (2008 CN1)",0.7707,0.3477,7.22,331.46,7.26,0.503,1.04,0.677,20.66,0.227,26.27,2460582.47
"462550 (2009 CB3)",1.065,0.7237,21.50,158.73,229.52,0.294,1.84,1.1,19.63,,148.11,2460435.36
"462959 (2011 DU)",1.172,0.3178,2.95,176.87,120.20,0.799,1.54,1.27,21.11,,164.01,2460389.49
"463387 (2013 CT82)",2.085,0.6248,1.80,271.38,90.54,0.782,3.39,3.01,18.43,,30.03,2460508.80
"465617 (2009 EK1)",1.241,0.2290,9.12,358.38,21.87,0.957,1.53,1.38,21.36,,230.00,2460782.83
"465633 (2009 JR5)",1.252,0.3514,3.95,128.18,309.95,0.812,1.69,1.4,20.44,,139.11,2460402.68
"465824 (2010 FR)",1.131,0.3654,14.24,167.27,272.73,0.718,1.54,1.2,21.69,,98.40,2460480.36
"465826 (2010 GA24)",2.097,0.5468,7.68,30.66,237.57,0.950,3.24,3.04,21.09,0.150,261.43,2460904.10
"465892 (2010 UT7)",1.584,0.6605,25.43,65.75,277.34,0.538,2.63,1.99,19.70,,28.06,2460543.77
"466130 (2012 FZ23)",2.483,0.6104,75.62,179.33,358.13,0.967,4.00,3.91,18.25,,71.08,2460318.41
"466508 (2014 GY48)",1.61,0.4187,39.63,37.62,212.80,0.936,2.28,2.04,18.72,,29.81,2460538.72
"467309 (1996 AW1)",1.534,0.5181,4.77,117.51,229.45,0.739,2.33,1.9,19.95,,90.28,2460426.44
"467317 (2000 QW7)",1.949,0.4687,4.15,158.55,190.99,1.035,2.86,2.72,19.83,,314.00,2460727.46
"467336 (2002 LT38)",0.8452,0.3137,6.18,259.27,162.78,0.580,1.11,0.777,20.61,,120.77,2460505.28
"467351 (2003 KO2)",0.7277,0.5108,23.49,215.47,204.04,0.356,1.10,0.621,20.36,,351.18,2460606.06
"467460 (2006 JF42)",0.6715,0.5819,5.94,40.83,17.80,0.281,1.06,0.55,19.05,,307.85,2460629.62
"468005 (2012 XD112)",1.323,0.3658,3.72,97.77,76.79,0.839,1.81,1.52,21.18,,234.88,2460793.70
"468468 (2004 KH17)",0.7121,0.4982,22.13,79.12,340.72,0.357,1.07,0.601,21.98,0.197,176.08,2460493.14
"468727 (2010 JE87)",0.9042,0.4370,16.91,120.47,242.31,0.509,1.30,0.86,20.77,0.308,194.33,2460745.02
"468910 (2014 KQ76)",1.007,0.4233,4.77,127.63,325.15,0.581,1.43,1.01,21.67,,232.41,2460731.40
"469896 (2005 WC1)",1.401,0.4865,19.98,264.94,256.82,0.719,2.08,1.66,20.67,,102.44,2460428.23
"470310 (2007 LB15)",0.9383,0.3952,25.19,262.77,237.36,0.568,1.31,0.909,19.61,,128.01,2460482.44
"471240 (2011 BT15)",1.293,0.3024,1.66,105.35,308.81,0.902,1.68,1.47,21.70,,147.30,2460380.81
"471241 (2011 BX18)",2.872,0.7312,14.62,310.56,304.22,0.772,4.97,4.87,18.58,1.451,253.95,2461124.06
"471323 (2011 KW15)",1.17,0.4938,23.66,283.35,97.52,0.592,1.75,1.27,19.39,,143.20,2460416.69
"471926 Jormungandr (2013 KN6)",1.466,0.8508,23.54,229.42,232.53,0.219,2.71,1.77,18.62,,183.06,2460919.08
"474158 (1999 FA)",1.078,0.1327,12.03,166.08,296.99,0.935,1.22,1.12,20.71,,5.21,2460594.58
"474163 (1999 SO5)",1.086,0.0653,13.37,196.06,359.70,1.015,1.16,1.13,20.99,,214.77,2460767.25
"474231 (2001 HZ7)",1.47,0.4983,5.43,156.28,312.87,0.737,2.20,1.78,20.01,,112.39,2460397.34
"475534 (2006 TS7)",0.9467,0.5803,5.50,225.14,300.05,0.397,1.50,0.921,21.25,,111.86,2460495.96
"476601 (2008 SE85)",1.626,0.5251,29.61,177.42,294.90,0.772,2.48,2.07,19.80,,228.98,2460876.02
"477162 (2009 ES)",1.436,0.3293,30.33,343.71,311.18,0.963,1.91,1.72,20.71,,280.63,2460739.08
"477465 (2009 XZ1)",0.8557,0.5339,8.16,81.97,153.01,0.399,1.31,0.792,21.71,,149.53,2460480.41
"477519 (2010 DJ56)",1.25,0.2453,34.84,149.91,309.28,0.943,1.56,1.4,19.15,0.321,231.65,2460782.48
"478574 (2012 TS78)",1.608,0.3818,32.67,8.27,196.78,0.994,2.22,2.04,18.61,,123.69,2460344.58
"480808 (1994 XL1)",0.6709,0.5262,28.17,252.65,356.58,0.318,1.02,0.55,20.64,,319.43,2460623.12
"480820 (1998 VF32)",0.8508,0.4438,23.75,236.25,320.96,0.473,1.23,0.785,20.97,,264.19,2460676.79
"480822 (1998 YM4)",1.477,0.7196,3.43,341.75,344.56,0.414,2.54,1.79,19.66,,176.01,2460280.05
"480858 (2001 PT9)",1.468,0.4552,7.18,329.97,261.65,0.800,2.14,1.78,20.96,,51.99,2460506.69
"480883 (2001 YE4)",0.6769,0.5404,4.85,305.32,318.98,0.311,1.04,0.557,20.92,,205.22,2460687.95
"480936 (2003 QH5)",1.26,0.2202,17.62,299.21,321.16,0.982,1.54,1.41,20.26,0.537,27.81,2460560.62
"481394 (2006 SF6)",0.9501,0.2805,5.84,227.96,305.58,0.684,1.22,0.926,19.97,,21.90,2460579.92
"481457 (2006 XD2)",1.267,0.4251,3.56,65.59,109.53,0.728,1.81,1.43,21.12,,136.97,2460402.40
"481482 (2007 CA19)",2.808,0.8215,9.60,169.92,102.60,0.501,5.12,4.71,17.58,,256.19,2461096.14
"481532 (2007 LE)",1.839,0.5157,29.55,73.62,120.28,0.890,2.79,2.49,19.62,,4.16,2460589.98
"481817 (2008 UL90)",0.695,0.3799,24.31,81.13,183.67,0.431,0.96,0.579,18.61,,2.40,2460599.09
"482250 (2011 LL2)",1.134,0.0965,24.68,68.23,163.63,1.025,1.24,1.21,20.17,,38.75,2460553.02
"482344 (2011 WL15)",1.352,0.2819,18.39,72.91,170.72,0.971,1.73,1.57,19.66,,234.60,2460800.52
"482467 (2012 LK9)",2.512,0.6197,10.14,61.84,314.59,0.955,4.07,3.98,17.93,,350.14,2460640.32
"482488 (2012 SW20)",2.462,0.6785,10.16,209.59,62.39,0.791,4.13,3.86,19.77,,63.97,2460349.83
"482650 (2013 BK18)",1.626,0.4947,28.88,137.69,64.68,0.822,2.43,2.07,19.68,,217.81,2460899.75
"482766 (2013 GF69)",1.967,0.4976,10.01,174.89,153.19,0.988,2.95,2.76,19.45,,357.04,2460608.77
"482796 (2013 QJ10)",0.9592,0.4251,18.15,327.43,243.87,0.551,1.37,0.939,19.60,,31.68,2460570.30
"482798 (2013 QK48)",1.586,0.8298,18.97,141.41,47.18,0.270,2.90,2,18.36,,269.75,2460783.32
"483422 (2000 CE59)",1.138,0.1668,12.26,318.62,307.53,0.948,1.33,1.21,20.53,,16.23,2460580.52
"483423 (2000 DO1)",1.43,0.6818,3.46,335.78,302.82,0.455,2.41,1.71,20.53,,110.43,2460408.90
"483432 (2001 DF47)",1.215,0.3708,18.47,146.62,260.28,0.765,1.67,1.34,20.44,,293.85,2460690.40
"483508 (2003 CR1)",1.453,0.4628,12.72,310.93,101.97,0.780,2.12,1.75,20.02,0.202,179.82,2460281.09
"483560 (2004 BV1)",1.463,0.3673,12.16,96.74,223.28,0.926,2.00,1.77,19.26,,16.85,2460570.24
"483989 (2006 CY10)",1.96,0.4841,6.77,32.50,167.39,1.011,2.91,2.74,20.40,,274.89,2460837.50
"484402 (2007 XH16)",1.187,0.2348,27.43,91.27,58.32,0.908,1.47,1.29,19.68,0.452,323.00,2460649.04
"484506 (2008 ER7)",1.486,0.6241,2.24,323.41,81.04,0.559,2.41,1.81,20.16,,117.92,2460383.66
"484517 (2008 EC69)",2.752,0.6194,24.84,93.22,178.15,1.047,4.46,4.57,17.18,,208.03,2461304.48
"484976 (2009 UN3)",2.328,0.5756,37.43,141.96,338.75,0.988,3.67,3.55,18.52,,54.94,2460402.55
"485652 (2011 WO41)",3.024,0.7292,20.14,111.08,126.39,0.819,5.23,5.26,16.60,,150.80,2459796.00
"487577 (2014 YQ15)",0.9638,0.2358,10.92,81.83,252.34,0.737,1.19,0.946,21.08,,230.94,2460724.39
"488453 (1994 XD)",2.344,0.7337,4.33,96.02,249.55,0.624,4.06,3.59,19.24,,122.74,2460153.65
"488490 (2000 AF205)",1.035,0.2770,2.41,219.90,127.51,0.748,1.32,1.05,21.90,,292.48,2460672.61
"488515 (2001 FE90)",1.935,0.4952,8.81,98.38,145.42,0.977,2.89,2.69,20.71,,256.64,2460882.75
"488789 (2004 XK50)",1.451,0.6886,38.23,94.05,104.02,0.452,2.45,1.75,19.13,1.039,88.88,2460442.87
"489486 (2007 GS3)",1.061,0.1291,15.09,215.39,61.07,0.924,1.20,1.09,19.40,,306.17,2460660.20
"490354 (2009 FF19)",1.213,0.4092,0.56,84.88,244.81,0.717,1.71,1.34,21.40,,127.29,2460428.01
"490581 (2009 WZ104)",0.8553,0.1927,9.84,263.25,10.56,0.690,1.02,0.791,20.85,0.237,71.51,2460543.11
"494658 (2000 UG11)",1.929,0.5718,8.91,223.91,240.87,0.826,3.03,2.68,20.71,,322.34,2460702.86
"494690 (2004 JQ1)",1.193,0.4500,32.83,77.05,272.66,0.656,1.73,1.3,20.10,,168.24,2460377.96
"494697 (2004 SW55)",1.428,0.3340,8.79,75.12,352.85,0.951,1.90,1.71,20.77,,241.22,2460806.07
"494710 (2005 MO13)",0.8636,0.4108,6.32,176.57,250.22,0.509,1.22,0.803,20.78,,251.77,2460688.62
"494975 (2009 WO106)",1.374,0.3853,17.35,281.69,134.68,0.845,1.90,1.61,19.18,,105.64,2460427.85
"494999 (2010 JU39)",0.9191,0.5461,36.22,95.16,311.38,0.417,1.42,0.881,19.67,,294.11,2460659.41
"495187 (2012 VO76)",1.204,0.2150,36.95,229.47,297.36,0.945,1.46,1.32,21.05,,272.72,2460717.54
"496005 (2007 XJ16)",2.258,0.5563,6.23,309.06,32.99,1.002,3.51,3.39,19.10,,32.92,2460487.17
"496013 (2008 EL6)",1.728,0.4810,13.14,177.66,38.41,0.897,2.56,2.27,21.00,,93.80,2460384.31
"496816 (1989 UP)",1.862,0.4722,3.85,53.16,17.82,0.982,2.74,2.54,20.54,0.3,256.52,2460867.17
"496817 (1989 VB)",1.862,0.4601,2.18,37.85,330.92,1.005,2.72,2.54,19.99,0.4,278.40,2460810.83
"496860 (1999 XL136)",1.819,0.6465,8.91,269.97,275.47,0.643,3.00,2.45,19.67,,28.38,2460529.85
"496901 (2001 HB)",1.314,0.6940,9.28,195.82,238.00,0.402,2.23,1.51,20.69,,260.14,2460753.09
"497117 (2004 FU4)",1.26,0.2639,23.25,31.56,46.31,0.928,1.59,1.41,18.33,,296.47,2460691.68
"499582 (2010 TH19)",1.464,0.3101,6.83,254.20,201.50,1.010,1.92,1.77,20.53,0.461,277.30,2460749.18
"500080 (2011 WV134)",2.795,0.6753,6.02,157.64,25.90,0.907,4.68,4.67,17.22,,250.63,2461119.05
"503861 (1998 WZ1)",2.163,0.5566,4.31,344.84,137.37,0.959,3.37,3.18,19.97,,35.72,2460485.18
"503941 (2003 UV11)",1.453,0.7626,5.93,31.78,124.95,0.345,2.56,1.75,19.65,0.260,324.10,2460664.33
"504034 (2005 UJ159)",3.343,0.8317,35.61,80.25,95.79,0.563,6.12,6.11,17.62,,26.44,2460436.53
"504256 (2006 VD13)",1.948,0.4837,11.71,313.94,162.89,1.006,2.89,2.72,19.07,,185.93,2461080.70
"504680 (2009 EO2)",1.712,0.4807,11.48,264.63,220.60,0.889,2.53,2.24,19.78,,2.81,2460594.11
"504800 (2010 CO1)",1.013,0.2179,24.02,351.56,252.71,0.792,1.23,1.02,21.48,0.380,78.84,2460518.98
"505178 (2012 TV78)",1.816,0.5488,7.47,251.75,244.94,0.819,2.81,2.45,19.46,,268.57,2460827.48
"505657 (2014 SR339)",1.299,0.3038,29.79,138.74,299.64,0.905,1.69,1.48,18.48,0.971,217.16,2460815.18
"506074 Svarog (2015 UM67)",1.558,0.6874,6.01,150.02,132.27,0.487,2.63,1.94,18.93,0.665,247.70,2460822.02
"506491 (2003 UW29)",1.17,0.8386,3.76,196.48,55.27,0.189,2.15,1.26,20.77,,255.96,2460734.02
"506732 (2006 VW2)",1.236,0.2944,10.05,229.77,299.68,0.872,1.60,1.37,21.32,,290.05,2460698.02
"506859 (2007 VW137)",2.236,0.7348,5.83,297.40,247.48,0.593,3.88,3.34,18.25,,351.64,2460628.88
"507716 (2013 UP8)",2.535,0.6191,47.83,55.16,187.36,0.966,4.10,4.04,16.39,,318.58,2460770.11
"508774 (1999 JE1)",1.323,0.7017,20.91,53.06,302.74,0.395,2.25,1.52,20.08,,214.12,2460825.80
"508908 (2003 YX1)",0.8797,0.2670,5.76,89.62,223.14,0.645,1.11,0.825,20.95,,197.32,2460736.68
"508967 (2004 VC17)",1.895,0.8109,20.40,229.17,65.16,0.358,3.43,2.61,18.49,,247.56,2460898.12
"509191 (2006 OC5)",2.402,0.6521,4.74,149.09,245.80,0.836,3.97,3.72,19.25,,305.36,2460806.82
