"full_name","a","e","i","om","w","q","ad","period","H","diameter","ma","tp"
"509352 (2007 AG)",0.7206,0.3741,11.95,283.22,5.71,0.451,0.99,0.612,20.16,,192.55,2460704.43
"509456 (2007 LF)",1.682,0.4198,6.99,239.39,333.92,0.976,2.39,2.18,20.57,,359.45,2460601.71
"509821 (2008 WQ63)",1.734,0.6071,0.92,317.08,229.02,0.681,2.79,2.28,20.20,,308.58,2460719.63
"509935 (2009 QL8)",1.931,0.5409,4.24,84.47,339.66,0.887,2.98,2.68,19.54,,202.68,2461028.86
"510055 (2010 FH81)",1.226,0.2105,16.80,84.60,158.31,0.968,1.48,1.36,21.51,0.200,223.80,2460788.00
"510529 (2012 EY11)",1.148,0.1508,9.02,167.58,238.88,0.975,1.32,1.23,21.58,,185.06,2460818.94
"511008 (2013 PX6)",2.597,0.6515,13.66,187.37,229.70,0.905,4.29,4.19,18.55,1.647,225.56,2461171.40
"511684 (2015 BN509)",1.007,0.5685,4.15,120.08,143.20,0.434,1.58,1.01,20.79,0.315,166.20,2460430.15
"512234 (2015 VO66)",0.9522,0.6000,14.02,64.46,219.30,0.381,1.52,0.929,20.62,,291.01,2460665.54
"513126 (1998 QP)",1.786,0.5826,9.35,326.43,78.46,0.745,2.83,2.39,21.71,,325.88,2460683.10
"513171 (2004 MD6)",0.9509,0.5630,29.32,263.84,231.46,0.416,1.49,0.927,20.48,,47.22,2460556.07
"513312 (2007 DM41)",1.181,0.5278,2.26,1.70,274.49,0.558,1.80,1.28,22.07,,211.78,2460793.60
"513489 (2009 EV)",1.728,0.5235,17.00,138.55,250.28,0.824,2.63,2.27,20.12,,25.45,2460541.83
"514150 (2015 KJ57)",1.559,0.4039,2.63,14.40,336.45,0.929,2.19,1.95,21.53,,239.72,2460838.05
"514568 (1994 RC)",2.264,0.6036,4.76,344.25,286.54,0.897,3.63,3.41,19.22,,313.52,2460761.12
"514596 (2003 FG)",1.241,0.7150,15.66,6.98,312.92,0.354,2.13,1.38,19.73,,166.36,2460367.02
"515767 (2015 JA2)",1.034,0.3491,16.42,126.60,246.26,0.673,1.39,1.05,21.17,,233.79,2460735.11
"516154 (2016 CL32)",1.543,0.4601,12.21,123.49,292.95,0.833,2.25,1.92,19.35,,214.31,2460883.91
"516155 (2016 DP)",1.023,0.4771,13.33,54.36,254.01,0.535,1.51,1.03,20.11,,32.94,2460565.94
"517103 (2013 EM20)",1.371,0.3179,8.36,73.88,350.16,0.935,1.81,1.61,19.92,,157.18,2460344.41
"517681 (2015 DE198)",2.063,0.5832,12.26,33.23,218.11,0.860,3.27,2.96,18.86,,50.47,2460448.78
"518640 (2008 KZ5)",1.844,0.4545,8.36,142.55,194.42,1.006,2.68,2.5,20.05,,160.69,2460192.37
"518678 (2008 UZ94)",2.191,0.5725,30.25,248.22,159.72,0.937,3.45,3.24,17.38,,322.94,2460722.47
"518810 (2010 CF19)",1.193,0.2700,7.18,154.71,265.31,0.871,1.52,1.3,21.85,0.083,142.87,2460411.58
"518847 (2010 DM)",2.081,0.8399,5.00,140.75,221.04,0.333,3.83,3,19.02,,8.79,2460573.75
"522684 (2016 JP)",0.9939,0.3836,11.33,202.55,255.63,0.613,1.38,0.991,21.14,,264.69,2460696.32
"523589 (2001 HA4)",2.69,0.7934,17.18,354.01,95.66,0.556,4.82,4.41,17.79,1.851,134.96,2459996.31
"523598 (2003 ED50)",1.416,0.5470,33.72,173.48,94.01,0.642,2.19,1.69,20.77,,258.77,2460773.62
"523606 (2005 CJ)",1.75,0.5256,1.08,357.82,81.99,0.830,2.67,2.31,20.34,,203.33,2460968.36
"523609 (2005 PJ2)",1.198,0.6594,17.42,326.43,128.89,0.408,1.99,1.31,19.53,,169.53,2460374.91
"523623 (2008 CB22)",2.365,0.6533,7.27,51.17,33.42,0.820,3.91,3.64,19.72,,227.64,2461089.00
"523630 (2009 OG)",2.706,0.8586,48.39,309.33,114.20,0.383,5.03,4.45,16.10,,137.74,2459978.51
"523650 (2011 GQ61)",1.59,0.4121,65.16,333.51,155.09,0.935,2.25,2.01,18.59,,279.23,2460764.82
"523654 (2011 SR5)",1.178,0.7057,29.13,180.10,305.55,0.347,2.01,1.28,20.95,,36.93,2460552.58
"523656 (2011 WO4)",1.738,0.4977,60.94,225.18,235.99,0.873,2.60,2.29,19.29,,206.67,2460956.82
"523662 (2012 MU2)",2.055,0.5138,11.22,250.30,16.60,0.999,3.11,2.95,20.77,,64.04,2460409.06
"523664 (2012 OD1)",0.8288,0.5029,42.26,303.73,224.36,0.412,1.25,0.754,18.59,0.346,191.12,2460729.78
"523685 (2014 DN112)",1.848,0.4939,4.30,260.18,145.91,0.935,2.76,2.51,20.04,,143.77,2460233.93
"523732 (2014 PG51)",1.206,0.4528,3.79,275.74,294.16,0.660,1.75,1.32,20.66,,311.74,2460665.33
"523775 (2014 YB35)",1.877,0.4833,12.64,3.72,188.64,0.970,2.78,2.57,19.11,0.279,256.67,2460870.08
"523788 (2015 FP118)",2.121,0.5497,2.68,201.34,108.16,0.955,3.29,3.09,19.48,,1.51,2460595.77
"523804 (2000 YF29)",1.492,0.3713,6.30,124.74,28.10,0.938,2.05,1.82,20.31,,355.90,2460608.07
"523808 (2007 ML24)",0.7588,0.3584,33.43,281.87,201.50,0.487,1.03,0.661,19.34,,287.12,2460649.38
"523813 (2008 VB1)",1.278,0.2751,10.32,50.35,136.98,0.926,1.63,1.44,20.65,,264.03,2460741.19
"523814 (2008 WN2)",1.418,0.3118,3.75,227.09,283.40,0.976,1.86,1.69,20.81,,95.98,2460436.08
"523816 (2009 ST103)",2.701,0.7184,15.74,226.45,234.66,0.760,4.64,4.44,18.14,0.851,126.30,2460031.80
"523818 (2010 SH13)",1.206,0.1370,13.86,190.58,11.02,1.041,1.37,1.32,21.27,,13.99,2460581.70
"523820 (2011 GN44)",2.245,0.5976,55.01,16.93,319.39,0.903,3.59,3.36,18.20,,307.31,2460780.32
"523934 (1998 FF14)",1.253,0.3123,38.69,359.83,301.12,0.862,1.64,1.4,20.62,,251.74,2460754.62
"523950 (1998 SZ27)",0.9051,0.5068,23.64,166.68,47.73,0.446,1.36,0.861,20.17,,182.41,2460755.66
"524475 (2002 KJ4)",2.271,0.5570,27.92,75.52,155.48,1.006,3.54,3.42,19.36,,207.24,2461130.85
"524522 Zoozve (2002 VE68)",0.7236,0.4102,9.04,231.47,355.41,0.427,1.02,0.616,20.54,,48.01,2460570.52
"524594 (2003 NW1)",2.424,0.6432,6.16,265.02,118.89,0.865,3.98,3.77,18.68,,207.85,2461183.14
"525229 (2004 UU1)",1.226,0.2732,29.97,217.76,113.63,0.891,1.56,1.36,21.17,,295.27,2460689.65
"525231 (2004 VB)",1.459,0.4090,10.86,52.35,71.61,0.862,2.06,1.76,20.85,,77.99,2460461.09
"525268 (2004 XL14)",0.7595,0.4104,21.46,85.60,157.59,0.448,1.07,0.662,21.43,,202.64,2460706.19
"525356 (2005 BG14)",1.993,0.7275,21.68,94.91,281.04,0.543,3.44,2.81,18.69,,24.82,2460529.65
"525484 (2005 GL)",1.056,0.3063,15.90,43.61,265.35,0.733,1.38,1.09,21.30,,278.68,2460690.06
"526587 (2006 TB)",1.562,0.3245,27.57,169.30,180.99,1.055,2.07,1.95,20.03,,93.49,2460415.34
"526670 (2006 UL217)",1.43,0.3486,9.92,45.18,310.12,0.932,1.93,1.71,20.75,,201.09,2460876.26
"526878 (2007 FE)",1.794,0.4570,7.00,122.62,135.21,0.974,2.61,2.4,19.38,,90.40,2460380.15
"527715 (2007 YQ56)",1.141,0.2881,26.45,276.00,273.09,0.812,1.47,1.22,19.97,,213.19,2460782.04
"528159 (2008 HS3)",1.35,0.2255,8.17,227.69,5.04,1.046,1.65,1.57,21.51,,166.33,2460335.75
"528804 (2009 BJ58)",1.849,0.7127,13.02,131.14,85.94,0.531,3.17,2.52,19.05,,61.52,2460443.52
"529366 (2009 WM1)",1.181,0.1689,25.77,240.25,162.64,0.981,1.38,1.28,20.42,,241.67,2460754.49
"529668 (2010 JL33)",2.677,0.7350,5.38,52.45,309.89,0.709,4.65,4.38,17.89,1.778,70.72,2460286.12
"529753 (2010 MF1)",2.498,0.5882,9.10,286.94,27.84,1.029,3.97,3.95,19.65,0.363,212.69,2461190.59
"529951 (2010 UD)",1.098,0.2640,26.29,23.74,262.26,0.808,1.39,1.15,21.08,,130.20,2460448.55
"530085 (2010 XC11)",2.519,0.8492,9.12,94.09,121.47,0.380,4.66,4,18.76,,139.28,2460035.67
"530520 (2011 LT17)",1.1,0.2874,20.90,83.45,270.62,0.784,1.42,1.15,21.85,,146.20,2460429.43
"530974 (2012 BN11)",1.457,0.3950,4.36,153.71,69.77,0.882,2.03,1.76,20.77,,39.68,2460529.66
"531060 (2012 DJ61)",0.9176,0.5153,53.63,346.27,311.96,0.445,1.39,0.879,19.89,,21.87,2460581.00
"531277 (2012 MM11)",2.113,0.6479,3.18,245.42,124.24,0.744,3.48,3.07,20.30,,341.40,2460658.48
"531899 (2013 BE19)",0.9113,0.2974,31.01,309.26,311.97,0.640,1.18,0.87,19.78,,65.21,2460542.95
"531914 (2013 BW76)",2.058,0.5337,40.36,58.22,0.56,0.960,3.16,2.95,18.37,,350.41,2460629.24
"531944 (2013 CU83)",1.285,0.1829,10.34,303.33,18.84,1.050,1.52,1.46,21.33,,176.89,2460339.21
"533011 (2014 AY28)",1.425,0.2826,5.71,169.57,22.73,1.023,1.83,1.7,21.85,,71.50,2460477.05
"533372 (2014 GG17)",1.367,0.3525,39.15,195.28,239.58,0.885,1.85,1.6,20.17,,297.85,2460701.26
"533671 (2014 LJ21)",2.889,0.8956,24.28,126.58,302.90,0.302,5.48,4.91,15.90,,51.35,2460344.65
"533722 (2014 NE52)",2.385,0.6585,3.86,54.52,337.61,0.815,3.96,3.68,18.21,0.701,256.99,2460985.56
"535844 (2015 BY310)",1.587,0.4008,4.79,328.41,229.53,0.951,2.22,2,21.89,,277.70,2460767.43
"536531 (2015 DV215)",1.538,0.4027,13.20,13.92,41.37,0.919,2.16,1.91,20.46,,73.05,2460459.09
"537395 (2015 LG2)",1.26,0.1817,21.29,133.11,188.91,1.031,1.49,1.41,20.48,,179.81,2460342.62
"538212 (2016 CA136)",2.032,0.7812,1.26,239.74,125.01,0.444,3.62,2.9,19.35,0.654,18.73,2460545.48
"539063 (2016 MK1)",1.5,0.7160,10.78,178.30,240.70,0.426,2.57,1.84,19.12,,94.81,2460423.70
"549948 (2011 WL2)",1.078,0.2834,14.13,212.91,88.85,0.772,1.38,1.12,20.84,,275.83,2460696.03
"551685 (2013 HT15)",1.101,0.4229,2.92,23.28,315.92,0.635,1.57,1.16,21.82,,265.36,2460711.45
"576763 (2012 UR136)",1.916,0.4607,6.06,87.51,202.78,1.033,2.80,2.65,19.30,,238.36,2460927.88
"585310 (2017 YZ1)",1.328,0.3351,20.87,277.70,298.49,0.883,1.77,1.53,20.43,,99.80,2460445.57
"605070 (2016 BT39)",1.968,0.5382,8.96,174.97,203.19,0.909,3.03,2.76,19.67,,80.29,2460375.56
"606441 (2017 YT5)",1.796,0.4192,36.47,133.53,197.04,1.043,2.55,2.41,19.09,,46.85,2460486.06
"612012 (1983 LC)",2.603,0.7146,1.56,159.69,184.90,0.743,4.46,4.2,19.47,,270.70,2460981.08
"612050 (1997 GL3)",2.27,0.7844,6.68,194.34,262.58,0.489,4.05,3.42,19.14,,23.62,2460518.54
"612098 (1999 RM45)",1.684,0.6446,10.89,162.63,88.91,0.599,2.77,2.19,19.82,,215.47,2460920.93
"612143 (2000 BO28)",1.699,0.6003,6.34,319.73,303.41,0.679,2.72,2.21,19.84,,1.98,2460596.05
"612227 (2001 QC34)",1.129,0.1876,6.24,271.45,215.47,0.917,1.34,1.2,20.20,,332.57,2460633.87
"612267 (2001 SG286)",1.358,0.3474,7.77,241.11,56.28,0.886,1.83,1.58,20.91,,236.56,2460798.75
"612326 (2002 CD14)",1.779,0.5793,2.89,127.60,141.32,0.748,2.81,2.37,20.42,,149.31,2460241.03
"612337 (2002 EY2)",1.725,0.4866,21.73,343.39,51.10,0.886,2.56,2.27,19.45,,67.64,2460444.98
"612342 (2002 FC)",2.822,0.6660,6.76,50.10,195.23,0.942,4.70,4.74,19.16,,249.51,2461131.90
"612348 (2002 GZ8)",2.821,0.6402,5.32,309.75,161.48,1.015,4.63,4.74,18.73,,287.59,2460948.50
"612356 (2002 JX8)",0.7699,0.3057,4.31,68.52,338.12,0.535,1.01,0.676,20.33,,244.41,2460679.72
"612358 (2002 JE9)",1.066,0.4165,8.77,199.83,255.90,0.622,1.51,1.1,21.40,,201.66,2460777.31
"612380 (2002 PF43)",1.644,0.3662,13.86,142.74,191.63,1.042,2.25,2.11,20.95,,185.67,2460973.23
"612509 (2002 UK11)",1.324,0.5753,5.37,69.18,84.54,0.562,2.09,1.52,21.89,,107.30,2460434.72
"612522 (2002 VP69)",2.019,0.5270,10.12,306.83,189.04,0.955,3.08,2.87,18.23,,202.97,2461057.70
"612536 (2003 AA3)",1.421,0.2893,13.78,106.38,347.03,1.010,1.83,1.69,20.30,,311.80,2460683.33
"612780 (2004 MD)",1.917,0.5365,9.77,85.39,124.28,0.889,2.95,2.66,20.16,,255.42,2460882.22
"612786 (2004 PJ2)",1.418,0.3421,2.58,317.10,281.78,0.933,1.90,1.69,21.57,,23.99,2460559.41
"612813 (2004 RF84)",2.164,0.6038,23.29,344.52,122.61,0.858,3.47,3.18,18.38,,71.76,2460368.69
"612856 (2004 TP1)",1.291,0.3892,7.49,30.02,87.86,0.789,1.79,1.47,20.75,,182.75,2460864.37
"612901 (2004 XP14)",1.052,0.1586,32.95,281.01,273.74,0.885,1.22,1.08,19.79,,54.12,2460541.25
"612924 (2005 CL)",1.986,0.7547,4.45,318.37,298.57,0.487,3.49,2.8,20.29,,338.02,2460662.95
"612989 (2005 LW39)",1.988,0.7156,28.47,251.45,275.19,0.566,3.41,2.8,20.00,,341.28,2460653.75
"613286 (2005 YQ96)",0.7434,0.3336,22.23,282.66,340.14,0.495,0.99,0.641,20.63,,314.69,2460629.96
"613403 (2006 GB)",0.9585,0.1795,10.07,183.68,242.92,0.786,1.13,0.938,20.23,,8.63,2460592.28
"613450 (2006 PY17)",1.895,0.6404,2.85,309.91,133.19,0.682,3.11,2.61,19.30,,303.70,2460749.56
"613569 (2006 TU7)",0.8513,0.4703,2.95,91.35,69.22,0.451,1.25,0.785,21.91,,242.73,2460693.95
"613714 (2007 DL41)",1.457,0.4765,4.67,150.72,140.23,0.763,2.15,1.76,20.82,,286.02,2460732.53
"613726 (2007 EF)",0.8203,0.4101,21.73,158.34,226.04,0.484,1.16,0.743,21.34,0.260,348.52,2460609.16
"613986 (2008 JG)",1.051,0.2959,7.92,128.74,242.35,0.740,1.36,1.08,20.81,,324.38,2460639.47
"614134 (2008 TC4)",0.7804,0.5544,10.65,212.54,324.35,0.348,1.21,0.689,21.65,,320.86,2460627.88
"614433 (2009 KK)",1.502,0.4552,18.21,68.12,247.34,0.818,2.19,1.84,20.58,,95.41,2460422.24
"614470 Flordeneu (2009 ST19)",2.361,0.5949,6.73,0.13,336.93,0.956,3.77,3.63,18.39,,59.52,2460381.46
"618350 (2021 PS2)",1.554,0.4735,7.92,163.29,79.01,0.818,2.29,1.94,19.92,,257.34,2460802.26
"619106 (2005 SQ)",1.654,0.5748,1.20,317.11,294.98,0.703,2.61,2.13,20.11,,28.92,2460538.07
"619920 (2006 KY86)",2.294,0.6486,7.47,222.29,321.65,0.806,3.78,3.47,19.74,,114.32,2460197.56
"620055 (2003 BK47)",2.749,0.7062,20.66,138.78,235.34,0.808,4.69,4.56,17.76,,318.54,2460792.20
"620056 (2004 UR1)",2.175,0.6164,4.08,250.92,73.45,0.835,3.52,3.21,20.53,,99.22,2460277.47
"620063 (2009 DH39)",1.849,0.6001,53.69,155.39,68.25,0.739,2.96,2.51,18.77,,58.35,2460451.66
"620066 (2010 SC41)",1.866,0.6068,0.25,235.53,267.58,0.734,3.00,2.55,19.86,,142.47,2460232.16
"620071 (2011 WN15)",1.217,0.8580,33.43,75.55,218.57,0.173,2.26,1.34,19.64,,249.46,2460751.03
"620082 (2014 QL433)",2.092,0.7170,4.43,322.63,260.62,0.592,3.59,3.02,19.87,,158.82,2460113.07
"620084 (2014 WD201)",2.095,0.5026,8.47,105.68,199.82,1.042,3.15,3.03,19.29,,158.22,2460113.60
"620085 (2014 WG365)",1.296,0.3333,25.12,71.31,111.13,0.864,1.73,1.47,20.12,,155.10,2460368.42
"620092 (2015 HB10)",1.853,0.5716,5.70,6.12,79.69,0.794,2.91,2.52,18.40,,346.91,2460634.00
"620094 (2016 AJ193)",3.261,0.8163,22.57,331.16,82.14,0.599,5.92,5.89,18.98,1.374,185.53,2461643.19
"620095 (2016 CB194)",2.512,0.6322,9.88,48.47,325.74,0.924,4.10,3.98,17.70,,119.35,2460118.43
"620096 Curupira (2016 HL)",1.813,0.6157,5.15,232.69,252.07,0.697,2.93,2.44,19.85,,195.15,2461008.76
"620099 (2016 OP5)",1.616,0.4523,8.24,79.52,291.04,0.885,2.35,2.05,20.95,,338.29,2460645.74
"620100 (2016 WJ1)",1.34,0.5031,2.89,81.99,87.77,0.666,2.01,1.55,21.35,,345.15,2460623.87
"620103 (2018 LC3)",1.346,0.5479,44.36,111.17,76.26,0.608,2.08,1.56,18.79,,55.37,2460512.78
"620107 (2020 XK7)",2.012,0.5593,8.08,197.59,26.95,0.887,3.14,2.85,19.58,,81.97,2460363.16
"621890 (2011 PO1)",2.515,0.6346,5.74,210.64,166.79,0.919,4.11,3.99,20.91,,98.78,2460200.76
"627157 (2008 OX1)",1.206,0.2776,29.74,304.82,281.35,0.871,1.54,1.32,21.50,,138.09,2460414.91
"657084 (2016 GT220)",1.608,0.3799,23.65,3.09,27.02,0.997,2.22,2.04,17.83,,244.19,2460840.04
"660096 (1998 SL36)",1.391,0.4181,19.06,353.08,116.80,0.809,1.97,1.64,20.23,,253.30,2460778.06
"666729 (2010 TV149)",1.699,0.5188,9.79,78.58,42.90,0.818,2.58,2.21,18.72,,76.23,2460429.18
"667255 (2011 EG17)",1.38,0.4188,20.11,170.10,241.55,0.802,1.96,1.62,20.68,,210.56,2460846.36
"668949 (2012 PP28)",1.989,0.6067,5.67,254.05,133.68,0.782,3.20,2.81,19.27,,100.32,2460314.92
"669051 (2012 SD22)",1.964,0.5727,7.91,140.22,313.83,0.839,3.09,2.75,20.06,,105.48,2460305.93
"669555 (2012 YQ1)",1.998,0.5627,5.15,120.01,42.26,0.874,3.12,2.82,21.11,,50.22,2460456.61
"671294 (2014 JO25)",2.066,0.8867,25.16,30.28,49.91,0.234,3.90,2.97,18.02,,201.55,2461077.89
"671970 (2014 QO296)",1.835,0.4701,10.94,193.51,30.72,0.973,2.70,2.49,20.15,,59.12,2460451.37
"672457 (2014 UR116)",2.07,0.7278,6.57,5.81,286.96,0.564,3.58,2.98,19.80,,142.70,2460169.27
"672745 (2014 WV363)",1.846,0.5158,5.53,77.95,210.03,0.894,2.80,2.51,19.05,,18.13,2460554.36
"673011 (2015 AR45)",1.385,0.7013,9.23,114.35,239.63,0.414,2.36,1.63,20.00,,38.07,2460537.52
"673713 (2015 FQ117)",0.8606,0.6205,4.55,293.85,63.12,0.327,1.39,0.798,20.87,,178.08,2460456.26
"674590 (2015 RH2)",1.218,0.2666,5.36,332.38,115.37,0.893,1.54,1.34,22.00,,210.05,2460804.99
"675603 (2015 XE352)",1.335,0.3891,2.05,45.18,225.54,0.816,1.85,1.54,20.94,,45.42,2460529.39
"678413 (2017 SV20)",1.303,0.3054,22.73,110.86,119.66,0.905,1.70,1.49,18.76,,52.25,2460521.63
"678715 (2017 VV14)",2.24,0.8450,15.89,77.93,234.76,0.347,4.13,3.35,18.34,,48.24,2460436.40
"678927 (2018 BP)",1.557,0.3977,3.33,183.28,216.51,0.938,2.18,1.94,20.56,,197.14,2460921.44
"678976 (2018 EH4)",2.06,0.6126,6.19,2.83,75.23,0.798,3.32,2.96,21.68,,104.41,2460287.25
"679440 (2019 GT2)",1.84,0.5108,6.74,88.38,343.89,0.900,2.78,2.5,19.10,,158.02,2460200.48
"679655 (2020 BS12)",1.49,0.7457,4.63,311.97,90.29,0.379,2.60,1.82,20.11,,241.41,2460819.38
"679656 (2020 BP13)",1.568,0.3525,8.14,208.99,357.32,1.015,2.12,1.96,21.07,,93.49,2460414.32
"679786 (2020 QG3)",2.089,0.5654,7.43,186.56,229.76,0.908,3.27,3.02,21.21,,113.31,2460253.43
"679814 (2020 TH5)",1.425,0.3985,4.60,175.77,326.46,0.857,1.99,1.7,21.04,,54.43,2460506.58
"679885 (2021 NQ5)",1.611,0.4937,1.42,115.35,299.07,0.816,2.41,2.05,21.12,,166.37,2460255.21
"686964 (2011 GM44)",0.7817,0.5191,49.33,10.82,37.53,0.376,1.19,0.691,19.68,,308.26,2460636.78
"696513 (2016 NL56)",1.407,0.5450,4.60,340.90,87.43,0.640,2.17,1.67,20.91,,270.79,2460751.51
"712200 (2014 SM143)",1.206,0.4226,24.21,28.81,89.64,0.696,1.72,1.32,20.38,,153.82,2460393.91
"719194 (2018 PL23)",1.567,0.7870,14.35,178.29,293.68,0.334,2.80,1.96,19.87,,341.87,2460636.59
